2022-11-11 18:36:13.867  INFO 18404 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2022-11-11 18:36:16.014  INFO 18404 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2022-11-11 18:36:16.015  WARN 18404 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/product-details-service/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2022-11-11 18:36:16.025  INFO 18404 --- [restartedMain] c.n.p.ProductDetailsServiceApplication   : No active profile set, falling back to 1 default profile: "default"
2022-11-11 18:36:17.092  INFO 18404 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=a853c4e8-8399-3be5-a352-c223b1d698c8
2022-11-11 18:36:17.846  INFO 18404 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9002 (http)
2022-11-11 18:36:17.860  INFO 18404 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-11-11 18:36:17.861  INFO 18404 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.68]
2022-11-11 18:36:17.970  INFO 18404 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-11-11 18:36:17.971  INFO 18404 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1882 ms
2022-11-11 18:36:19.190  INFO 18404 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-11-11 18:36:19.474  INFO 18404 --- [restartedMain] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
2022-11-11 18:36:19.563  WARN 18404 --- [restartedMain] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-11-11 18:36:19.568  INFO 18404 --- [restartedMain] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint(s) beneath base path '/actuator'
2022-11-11 18:36:19.598  INFO 18404 --- [restartedMain] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2022-11-11 18:36:19.678  INFO 18404 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2022-11-11 18:36:19.684  INFO 18404 --- [restartedMain] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-11 18:36:19.705  INFO 18404 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2022-11-11 18:36:19.705  INFO 18404 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2022-11-11 18:36:19.705  INFO 18404 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2022-11-11 18:36:19.706  INFO 18404 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application is null : false
2022-11-11 18:36:19.707  INFO 18404 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2022-11-11 18:36:19.707  INFO 18404 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2022-11-11 18:36:19.707  INFO 18404 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2022-11-11 18:36:20.094  INFO 18404 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : The response status is 200
2022-11-11 18:36:20.098  INFO 18404 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2022-11-11 18:36:20.102  INFO 18404 --- [restartedMain] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2022-11-11 18:36:20.109  INFO 18404 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1668171980108 with initial instances count: 0
2022-11-11 18:36:20.110  INFO 18404 --- [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application PRODUCT-DETAILS-SERVICE with eureka with status UP
2022-11-11 18:36:20.111  INFO 18404 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1668171980111, current=UP, previous=STARTING]
2022-11-11 18:36:20.114  INFO 18404 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PRODUCT-DETAILS-SERVICE/IN-6B71BK3.Nagarro.local:product-details-service:9002: registering service...
2022-11-11 18:36:20.153  INFO 18404 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9002 (http) with context path ''
2022-11-11 18:36:20.154  INFO 18404 --- [restartedMain] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 9002
2022-11-11 18:36:20.269  INFO 18404 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PRODUCT-DETAILS-SERVICE/IN-6B71BK3.Nagarro.local:product-details-service:9002 - registration status: 204
2022-11-11 18:36:20.430  INFO 18404 --- [restartedMain] c.n.p.ProductDetailsServiceApplication   : Started ProductDetailsServiceApplication in 8.096 seconds (JVM running for 8.749)
2022-11-11 18:36:50.111  INFO 18404 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2022-11-11 18:36:50.112  INFO 18404 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2022-11-11 18:36:50.112  INFO 18404 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2022-11-11 18:36:50.112  INFO 18404 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application is null : false
2022-11-11 18:36:50.112  INFO 18404 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2022-11-11 18:36:50.112  INFO 18404 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application version is -1: false
2022-11-11 18:36:50.113  INFO 18404 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2022-11-11 18:36:50.138  INFO 18404 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : The response status is 200
2022-11-11 18:37:28.747  INFO 18404 --- [http-nio-9002-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-11 18:37:28.747  INFO 18404 --- [http-nio-9002-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-11-11 18:37:28.749  INFO 18404 --- [http-nio-9002-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2022-11-11 18:37:28.796  INFO 18404 --- [http-nio-9002-exec-1] c.n.p.c.ProductDetailsController         : Product-details-service - Got all Details of a single product: [{"product_detailsId":100,"price":230.0,"size":8,"design":"Flexible","productId":1}]
2022-11-11 18:37:57.927  INFO 18404 --- [http-nio-9002-exec-2] c.n.p.c.ProductDetailsController         : Product-details-service - Got all Details of a single product: [{"product_detailsId":100,"price":230.0,"size":8,"design":"Flexible","productId":1}]
2022-11-11 18:37:57.938  INFO 18404 --- [http-nio-9002-exec-3] c.n.p.c.ProductDetailsController         : Product-details-service - Got all Details of a single product: [{"product_detailsId":101,"price":480.0,"size":7,"design":"Comfy","productId":2},{"product_detailsId":102,"price":650.0,"size":9,"design":"Soft","productId":2}]
2022-11-11 18:37:57.948  INFO 18404 --- [http-nio-9002-exec-4] c.n.p.c.ProductDetailsController         : Product-details-service - Got all Details of a single product: []
2022-11-11 18:37:57.959  INFO 18404 --- [http-nio-9002-exec-5] c.n.p.c.ProductDetailsController         : Product-details-service - Got all Details of a single product: [{"product_detailsId":103,"price":21990.0,"size":1,"design":"minimal","productId":4}]
2022-11-11 18:41:19.714  INFO 18404 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-11 18:45:27.825  INFO 18404 --- [http-nio-9002-exec-7] c.n.p.c.ProductDetailsController         : Product-details-service - Got all Details of a single product: [{"product_detailsId":100,"price":230.0,"size":8,"design":"Flexible","productId":1}]
2022-11-11 18:45:27.838  INFO 18404 --- [http-nio-9002-exec-8] c.n.p.c.ProductDetailsController         : Product-details-service - Got all Details of a single product: [{"product_detailsId":101,"price":480.0,"size":7,"design":"Comfy","productId":2},{"product_detailsId":102,"price":650.0,"size":9,"design":"Soft","productId":2}]
2022-11-11 18:45:27.845  INFO 18404 --- [http-nio-9002-exec-9] c.n.p.c.ProductDetailsController         : Product-details-service - Got all Details of a single product: []
2022-11-11 18:45:27.853  INFO 18404 --- [http-nio-9002-exec-10] c.n.p.c.ProductDetailsController         : Product-details-service - Got all Details of a single product: [{"product_detailsId":103,"price":21990.0,"size":1,"design":"minimal","productId":4}]
2022-11-11 18:46:19.725  INFO 18404 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-11 18:51:19.736  INFO 18404 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-11 18:56:19.733  INFO 18404 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-11 19:01:19.747  INFO 18404 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-11 19:06:19.757  INFO 18404 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-11 19:11:19.754  INFO 18404 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-11 19:16:19.756  INFO 18404 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-11 19:21:19.766  INFO 18404 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-11 19:22:25.716  INFO 18404 --- [http-nio-9002-exec-2] c.n.p.c.ProductDetailsController         : Product-details-service - Got all Details of a single product: [{"product_detailsId":100,"price":230.0,"size":8,"design":"Flexible","productId":1}]
2022-11-11 19:22:25.727  INFO 18404 --- [http-nio-9002-exec-3] c.n.p.c.ProductDetailsController         : Product-details-service - Got all Details of a single product: [{"product_detailsId":101,"price":480.0,"size":7,"design":"Comfy","productId":2},{"product_detailsId":102,"price":650.0,"size":9,"design":"Soft","productId":2}]
2022-11-11 19:22:25.735  INFO 18404 --- [http-nio-9002-exec-4] c.n.p.c.ProductDetailsController         : Product-details-service - Got all Details of a single product: []
2022-11-11 19:22:25.743  INFO 18404 --- [http-nio-9002-exec-5] c.n.p.c.ProductDetailsController         : Product-details-service - Got all Details of a single product: [{"product_detailsId":103,"price":21990.0,"size":1,"design":"minimal","productId":4}]
2022-11-11 19:26:19.766  INFO 18404 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2022-11-11 19:31:19.772  INFO 18404 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
